Name, Type, Description
video_published_at, object, The date and time when the video was published
video_category_id, object, Numeric ID representing the category of the video  
video_duration, object, Duration of the video in ISO 8601 format (e.g. "PT10M15S" for 10 minutes and 15 seconds)
video_view_count, float64, Total number of views for the video
video_like_count, float64, Total number of likes for the video
video_comment_count, float64, Total number of comments on the video
channel_custom_url, object, Custom URL for the channel (if available)
channel_view_count, float64, Total number of views across all videos on the channel
channel_subscriber_count, float64, Total number of subscribers to the channel
days_until_trend, float64, Total number of days until the video becomes a days_until_trend
thumbnail_person, int64, Indicator if an object of the class person was detected in thumbnail
thumbnail_bicycle, int64, Indicator if an object of the class bicycle was detected in thumbnail
thumbnail_car, int64, Indicator if an object of the class car was detected in thumbnail
thumbnail_motorcycle, int64, Indicator if an object of the class motorcycle was detected in thumbnail
thumbnail_airplane, int64, Indicator if an object of the class airplane was detected in thumbnail
thumbnail_bus, int64, Indicator if an object of the class bus was detected in thumbnail
thumbnail_train, int64, Indicator if an object of the class train was detected in thumbnail
thumbnail_truck, int64, Indicator if an object of the class truck was detected in thumbnail
thumbnail_boat, int64, Indicator if an object of the class boat was detected in thumbnail
thumbnail_traffic_light, int64, Indicator if an object of the class traffic_light was detected in thumbnail
thumbnail_fire_hydrant, int64, Indicator if an object of the class fire_hydrant was detected in thumbnail
thumbnail_stop_sign, int64, Indicator if an object of the class stop_sign was detected in thumbnail
thumbnail_parking_meter, int64, Indicator if an object of the class parking_meter was detected in thumbnail
thumbnail_bench, int64, Indicator if an object of the class bench was detected in thumbnail
thumbnail_bird, int64, Indicator if an object of the class bird was detected in thumbnail
thumbnail_cat, int64, Indicator if an object of the class cat was detected in thumbnail
thumbnail_dog, int64, Indicator if an object of the class dog was detected in thumbnail
thumbnail_horse, int64, Indicator if an object of the class horse was detected in thumbnail
thumbnail_sheep, int64, Indicator if an object of the class sheep was detected in thumbnail
thumbnail_cow, int64, Indicator if an object of the class cow was detected in thumbnail
thumbnail_elephant, int64, Indicator if an object of the class elephant was detected in thumbnail
thumbnail_bear, int64, Indicator if an object of the class bear was detected in thumbnail
thumbnail_zebra, int64, Indicator if an object of the class zebra was detected in thumbnail
thumbnail_giraffe, int64, Indicator if an object of the class giraffe was detected in thumbnail
thumbnail_backpack, int64, Indicator if an object of the class backpack was detected in thumbnail
thumbnail_umbrella, int64, Indicator if an object of the class umbrella was detected in thumbnail
thumbnail_handbag, int64, Indicator if an object of the class handbag was detected in thumbnail
thumbnail_tie, int64, Indicator if an object of the class tie was detected in thumbnail
thumbnail_suitcase, int64, Indicator if an object of the class suitcase was detected in thumbnail
thumbnail_frizbee, int64, Indicator if an object of the class frizbee was detected in thumbnail
thumbnail_skis, int64, Indicator if an object of the class skis was detected in thumbnail
